input_path,label,vid_id
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_1.mp4,12,1
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_10.mp4,14,10
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_100.mp4,35,100
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_101.mp4,13,101
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_102.mp4,16,102
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_103.mp4,6,103
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_104.mp4,29,104
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_105.mp4,5,105
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_106.mp4,29,106
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_107.mp4,28,107
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_108.mp4,19,108
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_109.mp4,28,109
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_11.mp4,4,11
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_110.mp4,7,110
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_111.mp4,27,111
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_112.mp4,23,112
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_113.mp4,18,113
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_114.mp4,11,114
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_115.mp4,20,115
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_116.mp4,6,116
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_117.mp4,26,117
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_118.mp4,3,118
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_119.mp4,4,119
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_12.mp4,23,12
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_120.mp4,19,120
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_121.mp4,31,121
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_122.mp4,28,122
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_123.mp4,7,123
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_124.mp4,15,124
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_125.mp4,36,125
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_126.mp4,35,126
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_127.mp4,23,127
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_128.mp4,5,128
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_129.mp4,3,129
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_13.mp4,35,13
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_130.mp4,6,130
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_131.mp4,19,131
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_132.mp4,15,132
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_133.mp4,0,133
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_134.mp4,1,134
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_135.mp4,16,135
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_136.mp4,31,136
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_137.mp4,36,137
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_138.mp4,0,138
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_139.mp4,9,139
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_14.mp4,20,14
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_140.mp4,24,140
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_141.mp4,11,141
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_142.mp4,34,142
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_143.mp4,18,143
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_144.mp4,7,144
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_145.mp4,9,145
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_146.mp4,18,146
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_147.mp4,6,147
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_148.mp4,29,148
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_149.mp4,15,149
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_15.mp4,22,15
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_150.mp4,11,150
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_151.mp4,34,151
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_152.mp4,9,152
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_153.mp4,10,153
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_154.mp4,30,154
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_155.mp4,8,155
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_156.mp4,18,156
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_157.mp4,13,157
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_158.mp4,34,158
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_159.mp4,18,159
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_16.mp4,33,16
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_160.mp4,11,160
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_161.mp4,24,161
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_162.mp4,0,162
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_163.mp4,29,163
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_164.mp4,29,164
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_165.mp4,26,165
../RouletteVision-Dataset/Input-Output Videos/SET 1/S1_INPUT_166.mp4,16,166
