input_path,label,vid_id
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_1.mp4,11,1
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_10.mp4,14,10
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_100.mp4,32,100
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_101.mp4,24,101
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_102.mp4,27,102
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_103.mp4,21,103
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_104.mp4,0,104
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_105.mp4,7,105
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_106.mp4,23,106
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_107.mp4,13,107
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_108.mp4,9,108
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_109.mp4,29,109
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_11.mp4,8,11
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_110.mp4,7,110
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_111.mp4,16,111
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_112.mp4,4,112
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_113.mp4,27,113
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_114.mp4,16,114
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_115.mp4,7,115
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_116.mp4,28,116
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_117.mp4,27,117
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_118.mp4,10,118
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_119.mp4,28,119
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_12.mp4,32,12
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_120.mp4,2,120
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_121.mp4,20,121
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_122.mp4,2,122
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_123.mp4,31,123
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_124.mp4,6,124
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_125.mp4,14,125
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_126.mp4,0,126
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_127.mp4,23,127
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_128.mp4,25,128
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_129.mp4,36,129
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_13.mp4,11,13
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_130.mp4,5,130
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_131.mp4,25,131
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_132.mp4,17,132
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_133.mp4,17,133
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_134.mp4,14,134
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_135.mp4,19,135
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_136.mp4,35,136
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_137.mp4,28,137
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_138.mp4,33,138
../RouletteVision-Dataset/Input-Output Videos/SET 3/S3_INPUT_139.mp4,4,139
